1,"{'B0F': 0, 'B1R': 7302}"
2,"{'B1F': 7301, 'B2R': 6911}"
3,"{'B2F': 6910, 'B3R': 6696}"
4,"{'B3F': 6695, 'B4R': 6565}"
5,"{'B4F': 6564, 'B5R': 38388}"
6,"{'B5F': 38388, 'B6R': 0}"
