1,"{'B0F': 0, 'B1R': 0.10000000000000001}"
2,"{'B1F': 0.82999999999999996, 'B2R': 0.85999999999999999}"
3,"{'B2F': 0.83999999999999997, 'B3R': 0.81999999999999995}"
4,"{'B3F': 0.85999999999999999, 'B4R': 0.87}"
5,"{'B4F': 1.02, 'B5R': 0.73999999999999999}"
6,"{'B5F': 2.2000000000000002, 'B6R': 0}"
